smiles	CYP3A4	hERG_pIC50
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H]4[C@H]3O\C(=N/CCCN(C)C)\N4C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC	5.1	*
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H]4[C@H]3O\C(=N/CCCSC)\N4C)[C@@](C)(C[C@@H](C)C(=O)N[C@H](C)[C@@H](O)[C@]1(C)O)OC	5.88	*
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H]4[C@H]3O\C(=N\c5ccc(OC)cc5)\N4C)[C@@](C)(C[C@@H](C)C(=O)N[C@H](C)[C@@H](O)[C@]1(C)O)OC	5.33	*
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@](C)(C[C@H](C)O2)OC)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C(C)C)[C@](C)(O)C[C@@H](C)[C@H](OCC(=O)NC)[C@H](C)[C@@H](O)[C@]1(C)O	*	4.52
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]3N(CCCCn4cnc(c4)c5cccnc5)C(=O)O[C@]13C)OC	*	4.4
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@H]3N(C4CN(C4)[C@H](C)c5ccnc6ncccc56)C(=O)O[C@]13C	*	4.37
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@H]3N(C4CN(Cc5c(O)cnc6cccnc56)C4)C(=O)O[C@]13C	*	4.17
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@H]3N(C4CN(Cc5ccnc6ncccc56)C4)C(=O)O[C@]13C	*	4.1
CC[N+](C)(C)Cc1ccccc1Br.Cc2ccc(cc2)S(=O)(=O)[O-]	5.8	*
CC[N+](C)(CC)CCC[n+]1c(c2ccccc2)c3cc(N)ccc3c4ccc(N)cc14	4.8	*
CC[N+](CC)(CC)COc1ccc(\C=C/c2ccccc2)cc1	4.4	*
CC[n+]1c(C=CN(C)c2ccccc2)sc3ccc(Cl)cc13.[O-]Cl(=O)(=O)=O	4.75	*
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3	4.6	*
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3	4.5	5.8
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3.OC(=O)CC(O)(CC(=O)O)C(=O)O	4.5	*
CC\C(=C(/c1ccccc1)\c2ccc(OCCN)cc2)\c3ccccc3	4.92	*
CC\C(=C(/CC)\c1ccc(O)cc1)\c2ccc(O)cc2	4.9	*
CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN)cc2)\c3ccc(O)cc3	5.79	*
CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN)cc2)\c3ccccc3	6.43	*
CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2	5	*
CC\C(=N\Nc1ccccc1)\c2cnnc(SC)n2	4.6	*
CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)O	4.8	*
CC\C=C/CC[C@H](OC(=O)c1ccc(Br)cc1)C2=CCCCC2=O	5.4	*
CC\N=C(\N1CCCc2cc(ccc12)C3=NNC(=O)SC3C)/c4ccc(OC)c(OC)c4	*	5.18
CC\N=C\1/O[C@H]2[C@H](O[C@@H]3[C@@H](C)[C@H](O[C@H]4C[C@@](C)(OC)[C@@H](O)[C@H](C)O4)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]3(C)O)O[C@H](C)C[C@@H]2N1C	5.24	*
CC\N=C\1/O[C@H]2[C@H](O[C@@H]3[C@@H](C)[C@H](O[C@H]4C[C@@](C)(OC)[C@@H](O)[C@H](C)O4)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]3(C)OC)O[C@H](C)C[C@@H]2N1C	5.54	*
CC\N=C\1/O[C@H]2[C@H](O[C@@H]3[C@@H](C)[C@H](O[C@H]4C[C@@](C)(OC)[C@@H](O)[C@H](C)O4)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)N(C)C[C@H](C)C[C@@]3(C)O)O[C@H](C)C[C@@H]2N1C	5.1	*
CC\N=C\1/S\C(=C/c2oc(Sc3ccc(Cl)cc3)cc2)\C(=O)N1CC	4.9	*
CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)O	4.8	*
CC1(C)[C@@H]2CC[C@@]1(C)C3=C2C(=O)N(N3Cc4ccccc4)c5ccc(F)cc5F	5.22	*
CC1(C)[C@@H]2CC[C@@]1(C)C3=C2C(=O)N(N3Cc4ccccc4)c5ccccc5	5.11	*
CC1(C)[C@@H]2CC[C@]13CCN(CCN4CCN(C4=O)c5cccc(Cl)c5)C3C2	*	6.1
CC1(C)C(=O)C(=C2CN3C(=O)N(CCc4ccccc4)C(=O)C3(Cc5ccc(cc5)C(F)(F)F)C=C12)c6ccccc6	5.7	*
CC1(C)C(=O)C(=C2CN3C(=O)N(CCc4ccccc4)C(=O)C3(Cc5ccc(F)cc5)C=C12)c6ccccc6	5.5	*
CC1(C)C(=O)C(=C2CN3C(=O)N(CCc4ccccc4)C(=O)C3(Cc5ccccc5)C=C12)c6ccccc6	5.7	*
CC1(C)C(=O)C=C[C@]2(C)C3CC[C@@]4(C)C(C[C@H]5O[C@]45[C@@]3(C)C(=O)C(=C12)O)c6cocc6	6.3	*
CC1(C)C(=O)N(CCN2CCC(CC2)C(=O)c3ccc(F)cc3)c4ccccc14	4.8	*
CC1(C)C(=O)N=C2C1=C(O)C(=O)c3ccccc23	4.5	*
CC1(C)C(C(Cl)Cl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl	5.1	*
CC1(C)C(CC(=O)O)[C@]2(C)C3CC[C@@]4(C)C(OC(=O)C=C4[C@@]3(O)CC(C1=O)C2=O)c5cocc5	4.6	*
CC1(C)C(O)C=C[C@]2(C)C3CC[C@@]4(C)C(OC(=O)C=C4[C@]3(C)OC(=O)CC12)c5cocc5	5.7	*
CC1(C)C(O)CC(=O)[C@]2(C)C1CC(=O)[C@]3(C)C2CC[C@@]4(C)C(OC(=O)C5O[C@]345)c6cocc6	5	*
CC1(C)C(O)CC(O)[C@]2(C)C1CC(=O)[C@]3(C)C2CC[C@@]4(C)C(OC(=O)C5OC345)c6cocc6	5.2	*
CC1(C)C(O)CC(O)[C@]2(C)C1CC(O)[C@]3(C)C2CC[C@@]4(C)C(CC5OC345)c6cocc6	5.5	*
CC1(C)C(O)CC(O)[C@]2(C)C1CC(O)[C@]3(C)C2CC[C@@]4(C)C(OC(=O)C5O[C@]345)c6cocc6	4.9	*
CC1(C)C(O)CC[C@]2(C)C1CC[C@@]3(C)C2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@@]5(C)CCC34C)C(=O)O	4.4	*
CC1(C)C[C@@H](CN2CCC(F)(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)CCO1	*	5.42
CC1(C)C[C@@H](NC(=O)c2ccc3[nH]ncc3c2)c4cc(c5ccc(Cl)cc5)c(nc4O1)c6ccc(Cl)cc6Cl	*	6.2
CC1(C)C[C@@H](NC(=O)c2cn[nH]c2)c3cc(c4ccc(Cl)cc4)c(nc3O1)c5ccc(Cl)cc5Cl	*	6.42
CC1(C)C[C@@H](NC(=O)c2n[nH]c3ccccc23)c4cc(c5ccc(Cl)cc5)c(nc4O1)c6ccc(Cl)cc6Cl	*	5.34
CC1(C)C[C@@H](NC(=O)Nc2cccc3cnccc23)c4cc(F)ccc4O1	6	*
CC1(C)C[C@@H](NC(=O)Nc2cccc3cnccc23)c4ccc(F)cc4O1	6.18	*
CC1(C)C[C@@H](NC(=O)Nc2cccc3cnccc23)c4ccc(OC(F)(F)F)cc4O1	5.66	*
CC1(C)C[C@@H]2[C@@H]1CC[C@]3(C)O[C@H]3CCC2=C	4.4	*
CC1(C)C[C@@H]2C[C@@](C)(CN2CCN3CCN(C3=O)c4cccc(Cl)c4)C1	*	5.9
CC1(C)C[C@H](CN2CCC(F)(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)CCO1	*	5.3
CC1(C)C[C@H]2C1CC[C@]3(C)OC3CCC2=O	4.9	*
CC1(C)C[C@H]2C1CCC3(C)OC3CC2=C	4.6	*
CC1(C)C=CC(=O)[C@]2(C)C1CC(=O)[C@]3(C)C2CC[C@@]4(C)C(OC(=O)C5OC345)c6cocc6	5.7	*
CC1(C)C2(C)CCC1(C/C/2=N\O)C(=O)Nc3ccccc3Br	4.7	*
CC1(C)C2(C)CCC1(C2Br)C(=O)Nc3cccc4ccccc34	4.95	*
CC1(C)C2(C)CCC1(OC2=O)C(=O)Nc3ncc(s3)[N+](=O)[O-]	4.8	*
CC1(C)C2(Cl)C(Cl)C(Cl)C(Cl)(C(Cl)Cl)C1(Cl)C2Cl	4.8	*
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17	*	7.89
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17	*	7.75
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17	*	6.8
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17	*	5.14
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CCC(=O)NCCCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17	*	7.72
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CCCCCC(=O)NCCCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17	*	8
CC1(C)C2=C3CC4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17	*	6.51
CC1(C)C2C=C[C@@]3(C)C(CC[C@@]4(C)C(OC(=O)C5OC345)c6cocc6)[C@@]2(C)C=CC1=O	5.1	*
CC1(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)C(OC(=O)C5O[C@]345)c6cocc6)[C@]2(C)C=CC1=O	5.6	*
CC1(C)C2CC(O)[C@]3(C)C(CC[C@@]4(C)C(OC(=O)C=C34)c5cocc5)[C@@]2(C)CCC1=O	4.8	*
CC1(C)C2CC(O)[C@]3(C)C(CC[C@@]4(C)C(OC(=O)C5O[C@]345)c6cocc6)[C@@]2(C)C=CC1=O	5.4	*
CC1(C)C2CC(O)[C@]3(C)C(CC[C@@]4(C)C(OC(=O)C5OC345)c6cocc6)[C@@]2(C)C7O[C@H]7C1=O	6	*
CC1(C)CC(=C(\C=N\CCN2CCN(CC2)C(=S)Nc3ccc(F)cc3)C(=O)C1)O	4.6	*
CC1(C)CC(=C(C(=O)c2ccccc2)\C(=N\CC=C)\C1)O	4.6	*
CC1(C)CC(=C(C(C#Cc2ccccc2)C3=C(O)CC(C)(C)CC3=O)C(=O)C1)O	4.5	*
CC1(C)CC(=C2C(c3ccc(F)cc3)c4cc5OCOc5cc4N=C2C1)O	6	*
CC1(C)CC(=NNC1=O)c2ccc(OC3CCN(CC3)C4CCC4)cc2	*	4.68
CC1(C)CC(=O)C([C@H]2C3=C(CC(C)(C)CC3=O)Oc4ccccc24)C(=O)C1	4.8	*
CC1(C)CC(=O)C(C(C2C(=O)CC(C)(C)CC2=O)c3ccccc3F)C(=O)C1	4.55	*
CC1(C)CC(=O)C(CCC(=O)c2ccccc2)C(C)(C)N1	4.9	*
CC1(C)CC(=O)C=C(C1)NCc2ccc(Cl)c(Cl)c2	5.1	*
CC1(C)CC(=O)C2=C(C1)N(C(=C(C#N)C2c3cccs3)N)c4ccc(F)cc4	6	*
CC1(C)CC(=O)C2=C(C1)N(Cc3ccccc3)C(=O)C2(O)C(F)(F)F	4.7	*
CC1(C)CC(=O)C2=C(C1)N(Cc3cccnc3)C(=O)C2(NC(=O)c4cccnc4)C(F)(F)F	4.9	*
CC1(C)CC(=O)C2=C(C1)Oc3nc4ccccc4cc3C2C(C#N)C#N	4.85	*
CC1(C)CC(=O)c2c(C1)oc3cc(O)c(O)cc23	4.5	*
CC1(C)CC(=O)c2c(C1)oc3cc4OCOc4cc23	5.4	*
CC1(C)CC(=O)c2c(Cc3ccccc3)[nH]nc2C1	4.85	*
CC1(C)CC(CC(C)(C)C1)Oc2ccc(cc2)c3ccc(cc3F)C4(CC4)C(=O)O	4.57	*
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O	4.6	*
CC1(C)CC(CCO1)NCc2ccc3OCOc3c2	4.75	*
CC1(C)CC(CN2CCC(F)(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)CCO1	*	5.08
CC1(C)CC(NC(=O)C(F)(F)CO)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl	*	7.1
CC1(C)CC(NC(=O)C2(O)CC2)c3cc(c4ccc(Cl)cc4)c(nc3O1)c5ccc(Cl)cc5Cl	*	6.52
CC1(C)CC(NC(=O)CC(O)C(F)(F)F)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl	*	5.61
CC1(C)CC(NC(=O)CCO)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl	*	6.42
CC1(C)CC[C@@]2(C(O)C[C@@]3(C)C(=CCC4[C@@]5(C)CCC(O)C(C)(C)C5CC[C@]34C)C2C1)C(=O)O	4.8	*
CC1(C)CC[C@@]2(CC[C@@]3(C)C(=CCC4[C@@]5(C)CCC(O)[C@@](C)(CO)C5CC[C@]34C)C2C1)C(=O)O	4.9	*
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5[C@H](O)C[C@@]34C)C2C1)C(=O)O	4.6	*
CC1(C)CC[C@]23CC[C@@]4(C)[C@]5(C)CC[C@H]6C(C)(C)C(=O)C(=C[C@]6(C)C5=CC(=O)[C@@]4([C@@H]2C1)N(C7CCCCC7)C3=O)C#N	5.6	*
CC1(C)CC2(CC(C)(OC2=O)C(=O)CSc3nc4ccccc4s3)C(=O)O1	5	*
CC1(C)CC2(CCN(CC2)C(=O)c3ccc(C[C@@H]4CC[C@@H](N4)[C@H](O)c5ccccc5)cc3)C(=O)O1	*	4.51
CC1(C)CC2(CCO1)OC(=O)CC2C(=O)NCCc3ccccc3	4.55	*
CC1(C)CC23C1CCC2(C)C(O)CCC3=O	4.8	*
CC1(C)Cc2c(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccc(N)cn5)cccc2O1	*	4.78
CC1(C)Cc2c(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccnc(N)c5)cccc2O1	*	4.54
CC1(C)Cc2c(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccncc5)cccc2O1	*	4.52
CC1(C)Cc2c(CO1)c(nc(SCc3ccccc3)c2C#N)N4CCOCC4	4.6	*
CC1(C)Cc2c(CO1)sc3ncnc(NN=C(S)NCC=C)c23	4.75	*
CC1(C)Cc2c(CS1)sc3N=C(SCC(=O)NCc4ccccc4)N(C(=O)c23)c5ccccc5	5.45	*
CC1(C)CC2C1CCC(=C)\C(=N/O)\CCC2=C	4.5	*
CC1(C)CC2C1CCC(=C)C(O)CCC2=O	5.7	*
CC1(C)CC2C1CCC3(C)OC2(C)CCC3O	4.6	*
CC1(C)CC2C1CCC3(C)OC3CCC2(C)O	4.6	*
CC1(C)Cc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccc(N)cn5)c2O1	*	4.36
CC1(C)Cc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)c5ncccc5N)c2O1	*	4.49
CC1(C)Cc2ccccc2C(=N1)NNC(=O)c3ccncc3	5.05	*
CC1(C)CCC(C)(C)c2cc(ccc12)C3(OCCO3)c4ccc(\C=C\C(=O)O)cc4	4.52	*
CC1(C)CCC(C)(C)c2cc(ccc12)C3(SCCS3)c4ccc(CCC(=O)O)cc4	5.13	*
CC1(C)CCC(CC1)c2ccc(cc2)c3ccc(cc3F)C4(CC4)C(=O)O	4.08	*
CC1(C)CCC(CC1)n2c3cnccc3c4cnc(Nc5ccc(cn5)N6CCNCC6)nc24	5.02	*
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]3(C)OC(=O)C[C@@H]23	4.7	*
CC1(C)CCC2(CC[C@]3(C)C(=CCC4[C@]5(C)CCC(O)C(C)(C)C5C(O)C[C@@]34C)C2C1)C(=O)O	5.6	*
CC1(C)CCC2=C(O1)c3ccccc3C(=O)C2=O	4.8	*
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)C3(CCC3)c4cccc(c4)c5cc(Cl)cc(Cl)c5	5.05	4.4
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)Cc3cccc(c3)c4ccccc4	4.4	4.7
CC1(C)CCc2cc(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccc(N)cn5)ccc2O1	*	4.49
CC1(C)CCc2cc(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccncn5)ccc2O1	*	4.95
CC1(C)CCCC2(C)C3C(O)CC2(C)C(O)C13	4.5	*
CC1(C)CN(C(=O)CC2=NC(=CC(=O)N2)N3CCOCC3)c4ccccc14	4.4	*
CC1(C)CN(N(C(=O)c2ccc(F)cc2)C1=O)c3ccccc3	4.9	*
CC1(C)CN2C(=CSC2=N1)CS\C(=N/C3CCCCC3)\NC4CCCCC4	*	4.88
CC1(C)N(C(=O)CSC2=NCCS2)c3ccccc3C4=C1SSC4=S	5.75	*
CC1(C)N(CCn2c(Nc3ccc(Cl)cc3)c(nc12)c4ccc(F)cc4)C(=O)CN	*	5.14
CC1(C)N(CCn2c(Nc3ccc(F)cc3)c(nc12)c4ccc(F)cc4)C(=O)CN	*	4.87
CC1(C)NC(=O)N(C1=O)c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-]	4.9	*
CC1(C)NCCc2c1oc3cc(ccc23)S(=O)(=O)c4cccc(F)c4	*	6
CC1(C)O[C@@H]2C[C@H]3[C@H]4C[C@H](F)C5=CC(=O)C=C[C@@]5(C)[C@@H]4[C@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO	4.9	*
CC1(C)O[C@@H]2C[C@H]3[C@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@H]4[C@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO	4.9	*
CC1(C)O[C@H]2C[C@@H]3[C@H]4CCC5=CC(=O)CC[C@@]5(C)[C@]4(F)[C@@H](O)C[C@@]3(C)[C@]2(O1)C(=O)CCl	4.9	*
CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]4CC[C@@]5(C)[C@@H](OC(=O)[C@H]6O[C@@]56[C@]4(C)C(=O)C[C@@H]13)c7cocc7	4.64	*
CC1(C)OC(=C(\C=N\c2cccc(O)c2)C(=O)O1)O	4.5	*
CC1(C)OC(=O)N([C@@H]2CC[C@H](CC2)c3cnc(N)c(c3)c4ncccn4)[C@H]1c5ccccc5	*	4.96
CC1(C)OC(=O)N([C@@H]2CC[C@H](CC2)N3C(=O)Nc4c(F)c(ccc34)C#N)[C@H]1c5ccccc5	5.27	*
CC1(C)OC(=O)N([C@@H]2CC[C@H](CC2)N3C(=O)Nc4cc(C#N)c(F)cc34)[C@H]1c5ccccc5	5.12	*
CC1(C)OC(=S)Nc2ccc(cc12)S(=O)(=O)N3c4ccccc4COc5cc(F)ccc35	6.44	*
CC1(C)OC(C(O1)C(O)(c2ccccc2)c3ccccc3)C(O)(c4ccccc4)c5ccccc5	5.6	*
CC1(C)Oc2c(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccc(N)cn5)cccc2C1(F)F	*	4.32
CC1(C)Oc2c(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccnc(N)c5)cccc2C=C1	*	4.42
CC1(C)OC2CC(=O)OC[C@]23C4CC[C@@]5(C)C(OC(=O)C6O[C@]56[C@]4(C)C(=O)CC13)c7cocc7	5.4	*
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=C[C@@]5(C)[C@@]4(F)C(O)C[C@@]3(C)[C@@]2(O1)C(=O)CO	4.4	*
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)[C@@]2(O1)C(=O)CO	4.4	*
CC1(C)OC2CC3C4CCC5=CC(=O)C=C[C@@]5(C)[C@]4(F)C(O)C[C@@]3(C)[C@@]2(O1)C(=O)CO	4.8	*
CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)[C@@]2(O1)C(=O)CCl	4.6	*
CC1(C)Oc2cc3OC=C(C(=O)c3c(O)c2C=C1)c4ccc5OCOc5c4	4.6	*
CC1(C)Oc2ccc(NC(=O)c3ccc(Cl)cn3)cc2[C@@]4(COC(=N4)N)C15CC5	*	5.49
CC1(C)Oc2ccc(NC(=O)c3ccc(Cl)cn3)cc2[C@@]4(COC(=N4)N)C15COC5	*	4.69
CC1(C)Oc2ccc(NC(=O)c3cnc(cn3)C(F)F)cc2[C@@]4(COC(=N4)N)C15CC5	*	4.82
CC1(C)Oc2ccc3C[C@@H](COc3c2C=C1)c4ccc(O)cc4O	5.16	*
CC1(C)Oc2ccc3C=CC(=O)Oc3c2CC1O	4.6	*
CC1(C)Oc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccnc(N)c5)c2O1	*	4.78
CC1(C)OCC(CSC2=C(SCC3COC(C)(C)O3)C(=O)c4ncccc4C2=O)O1	4.8	*
CC1(C)OCc2ccc(CN[C@H]3CS(=O)(=O)C[C@@H](Cc4cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c4)[C@@H]3O)cc12	6.16	*
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O[C@H]4OC(=O)c5ccccc45	5.8	*
CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O	4.8	*
CC1(C)SC(=S)N(Cc2ccc3OCOc3c2)C1N(O)C(=O)NC4CCCCC4	5.95	*
CC1(C)SC(=S)N(NC(=O)Nc2ccccc2)C1N(O)C(=O)Nc3ccccc3	5.6	*
CC1(C=CC2(CCCCC2)N1C(=O)c3ccccc3)C(=O)NCc4cc(F)cc(c4)C(F)(F)F	5.2	*
CC1(C=CC2(CCCCC2)N1C(=O)c3ccccc3)C(=O)NCC4CC4	5.1	*
CC1(C=CC2(CCCCC2)N1C(=O)c3ccccc3)C(=O)NCCCNc4ncc(cc4Cl)C(F)(F)F	5.1	*
CC1(C=CC2(CCCCC2)N1C(=O)c3ccccc3)C(=O)NCCN4CCOCC4	5.1	*
CC1(C=CCN1C(=O)c2ccccc2)C(=O)NCCc3c[nH]c4ccccc34	5	*
CC1(C=CCN1C(=O)c2ccccc2)C(=O)NCCN3CCOCC3	4.6	*
CC1(CC(=O)NCc2ccc(Br)cc2F)CC3(CCCCC3)OO1	5.36	*
CC1(CC(=O)NCc2ccc(OC(F)(F)F)cc2)CC3(CCCCC3)OO1	5.54	*
CC1(CC(=O)NCc2ccc3CCOc3c2)CC4(CCCCC4)OO1	5.59	*
CC1(CC(=O)NCc2cccc(c2)C(F)(F)F)CC3(CCCCC3)OO1	5.5	*
CC1(CC(=O)NCc2cccc(Cl)c2)CC3(CCCCC3)OO1	5.31	*
CC1(CC(=O)NCc2ccccc2N)CC3(CCCCC3)OO1	5.72	*
CC1(CC(=O)NCc2ccccc2N3CCCCC3)CC4(CCCCC4)OO1	5.8	*
CC1(CC(=O)NCc2ccccc2OC(F)(F)F)CC3(CCCCC3)OO1	5.38	*
CC1(CC(=O)NCc2ccccc2Sc3ccccc3CO)CC4(CCCCC4)OO1	5.92	*
CC1(CC(=O)NCCNc2ccnc3cc(Cl)ccc23)CC4(CCCCC4)OO1	6	*
CC1(CC=C)OC=Cc2nc3cc(Cl)c(Cl)cc3nc12	5.4	*
CC1(CC1(Br)Br)C(=O)NCCCNC(=O)C2(C)CC2(Br)Br	5	*
CC1(CC1)[C@@H]2COC[C@H](COC(=O)N3CCC(CC3)N4CCCCC4)N2S(=O)(=O)c5ccc(Cl)cc5	8.82	*
CC1(CC1)[C@@H]2COC[C@H](COC(=O)N3CCC(CO)CC3)N2S(=O)(=O)c4ccc(Cl)cc4	8.26	*
CC1(Cc2c([nH]c3ccccc23)C(N1)C4CCOCC4)c5nc(c[nH]5)c6ccccc6	*	5.53
CC1(CCN(C[C@@H]2CCc3cccnc3[C@@H](O)C2)CC1)c4ccccc4	*	4.96
CC1(CCN(C1=O)[C@@]2(CC[C@H](CC2)N3CCC4(CCOC4)CC3)c5ccccc5)c6cc(cc(c6)C(F)(F)F)C(F)(F)F	*	6.44
CC1(CCN(C1=O)[C@@]2(CC[C@H](CC2)N3CCN(C(=O)C3)c4ccccc4)c5ccccc5)c6cc(cc(c6)C(F)(F)F)C(F)(F)F	*	5.71
CC1(CCN(C1=O)[C@@]2(CC[C@H](CC2)N3CCN(C(=O)C3)c4ccccc4Cl)c5ccccc5)c6cc(cc(c6)C(F)(F)F)C(F)(F)F	*	5.53
