smiles	CYP3A4	hERG_pIC50
[Na+].[Na+].[Na+].Nc1c2C(=O)c3ccccc3C(=O)c2c(Nc4ccc(Nc5nc(Cl)nc(Nc6ccc(cc6)S(=O)(=O)[O-])n5)c(c4)S(=O)(=O)[O-])cc1S(=O)(=O)[O-]	4.6	*
[Na+].[Na+].[O-]c1c(Cl)cc(Cl)cc1Sc2cc(Cl)cc(Cl)c2[O-]	4.8	*
[Na+].[Na+].[O-]S(=O)(=O)c1cc(ccc1\C=C\c2ccc(cc2S(=O)(=O)[O-])N=C=S)N=C=S	4.9	*
[Na+].[Na+].Cc1cc(ccc1N=Nc2cc(c3ccccc3c2N)S(=O)(=O)[O-])c4ccc(N=Nc5cc(c6ccccc6c5N)S(=O)(=O)[O-])c(C)c4	4.6	*
[Na+].[Na+].CC1CC2C3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)C(O)C[C@]2(C)[C@]1(O)C(=O)COP(=O)([O-])[O-]	4.4	*
[Na+].[Na+].Cc1ccc(cc1)S(=O)(=O)Oc2ccc(cc2)N=Nc3ccc(cc3C)c4ccc(N=Nc5c(O)ccc6cc(cc(c56)S(=O)(=O)[O-])S(=O)(=O)[O-])c(C)c4	4.6	*
[Na+].[Na+].O[C@@H]1[C@H](O)[C@@H](O[C@H]1COP(=O)([O-])OP(=O)(O)[O-])N2C=CC(=O)NC2=O	6.1	*
[Na+].[NH-]S(=O)(=O)Cc1noc2ccccc12	4.5	*
[Na+].[O-]C(=O)c1[nH]c2cc(Cl)cc(Cl)c2c1\C=C\C(=O)Nc3ccccc3	4.8	*
[Na+].[O-]C(=O)c1cccc(Cc2cc(Cl)ccc2OCc3ccc(F)cc3Cl)n1	4.46	*
[Na+].[O-]C(=O)c1oc2ccc(Cc3cccnc3)cc2c1	4.6	*
[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl	5	*
[Na+].C[C@@H](Cc1ccc(OCC(=O)[O-])cc1)NC[C@H](O)c2cccc(Cl)c2	4.6	*
[Na+].C[C@H](Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)[O-]	4.7	*
[Na+].c1nc[n-]n1	4.5	*
